iter	Logloss
0	0.6552103742
1	0.6091050869
2	0.5521966653
3	0.5261313
4	0.4999015793
5	0.4829180102
6	0.4468925781
7	0.4131294296
8	0.3831359234
9	0.3723863753
10	0.3616764559
11	0.3481975532
12	0.3393984714
13	0.3280497279
14	0.3157449037
15	0.2993951588
16	0.2938484516
17	0.287591482
18	0.2817148485
19	0.2685921369
20	0.2581887459
21	0.2518524783
22	0.2484798214
23	0.2391962119
24	0.233681643
25	0.2284522359
26	0.2253748115
27	0.2210446787
28	0.2166497527
29	0.2115917001
30	0.2079421387
31	0.2047879087
32	0.1985915489
33	0.1937311296
34	0.1898246307
35	0.1873484478
36	0.1845515328
37	0.1811621419
38	0.1775261883
39	0.1736349083
40	0.1718041223
41	0.1664604526
42	0.1643130182
43	0.1626438047
44	0.1596383243
45	0.1583556088
46	0.1558204762
47	0.1537798064
48	0.1520676605
49	0.1507465904
50	0.1476519021
51	0.145921044
52	0.143542124
53	0.1419528068
54	0.140740147
55	0.1389330005
56	0.1379703873
57	0.1358494316
58	0.1348329879
59	0.1307483483
60	0.1290537629
61	0.1270164845
62	0.1256885648
63	0.1234469896
64	0.1227247334
65	0.1213863362
66	0.1183796832
67	0.1173016315
68	0.1162089845
69	0.1150060738
70	0.1145675218
71	0.1129986437
72	0.1119738414
73	0.1098660157
74	0.1087522442
75	0.108302562
76	0.1066782089
77	0.1053689426
78	0.1048092483
79	0.1042197463
80	0.1028159564
81	0.1019501403
82	0.1012485906
83	0.1008348013
84	0.09984536549
85	0.09913922404
86	0.09833100024
87	0.09755100536
88	0.09722329235
89	0.09656365898
90	0.09510394557
91	0.09422048598
92	0.09381900173
93	0.09326991888
94	0.09266981008
95	0.09197028966
96	0.0915392167
97	0.09107783767
98	0.09054291311
99	0.09001940614
100	0.08887519735
101	0.08827030058
102	0.08786272309
103	0.08695082638
104	0.0862783927
105	0.08566074914
106	0.08507821599
107	0.08426102325
108	0.08404568778
109	0.0837170658
110	0.08337239922
111	0.08317721143
112	0.08293157236
113	0.08265869712
114	0.08221508509
115	0.0817274473
116	0.08142821246
117	0.08084799372
118	0.0805881632
119	0.08003707997
120	0.07955071789
121	0.07928536024
122	0.07907659382
123	0.07875344768
124	0.07849777743
125	0.07807538791
126	0.07758049369
127	0.07694290927
128	0.07664967389
129	0.07638983458
130	0.07620837079
131	0.0759842183
132	0.07554426128
133	0.0751911486
134	0.07491444109
135	0.0746088618
136	0.07433116821
137	0.07425331645
138	0.07395913558
139	0.07359459555
140	0.07307961048
141	0.07287197659
142	0.0726704918
143	0.07219862141
144	0.07193088662
145	0.07170210989
146	0.07139463533
147	0.07119089062
148	0.07103443413
149	0.07065426432
150	0.07028449234
151	0.07023434756
152	0.0700264696
153	0.06989205036
154	0.06964779269
155	0.06948697513
156	0.06925136005
157	0.06887030491
158	0.06869230787
159	0.06855100044
160	0.06836868758
161	0.06825046108
162	0.06808038649
163	0.06792550304
164	0.06770215309
165	0.06754375843
166	0.06737930445
167	0.06720412424
168	0.06706740577
169	0.06681828988
170	0.06670141194
171	0.06651796664
172	0.06618000646
173	0.06600711767
174	0.06591685915
175	0.06573332124
176	0.06562011789
177	0.06551113991
178	0.06520432081
179	0.06510352411
180	0.0648709466
181	0.06470637153
182	0.06446467462
183	0.06439091009
184	0.06423557574
185	0.06404974864
186	0.06387306726
187	0.06364932895
188	0.06345610527
189	0.06327738367
190	0.06320060302
191	0.06310534527
192	0.06298968331
193	0.06290411312
194	0.06272184812
195	0.06259502125
196	0.0624875752
197	0.062366252
198	0.06219389088
199	0.06202376535
200	0.06181328748
201	0.06168193852
202	0.0615582848
203	0.06144704268
204	0.0613731543
205	0.06126728371
206	0.06118997953
207	0.06112523214
208	0.06096885869
209	0.06084699498
210	0.06072048434
211	0.06055275065
212	0.06047904049
213	0.0603959047
214	0.06030409508
215	0.06026683038
216	0.06014349935
217	0.05986821769
218	0.05964813153
219	0.05952043854
220	0.05944847079
221	0.05932044263
222	0.05922730393
223	0.05909706016
224	0.05900795963
225	0.05892914691
226	0.05876174523
227	0.05862789428
228	0.05853920145
229	0.05848813748
230	0.05841297408
231	0.05834368344
232	0.05823828268
233	0.05807090014
234	0.05801519084
235	0.05792371004
236	0.05779717675
237	0.0577168796
238	0.05758139774
239	0.05748784425
240	0.05738363067
241	0.05731026378
242	0.05722769014
243	0.05715107073
244	0.05707361559
245	0.0570020201
246	0.05693861597
247	0.05690456059
248	0.05678964468
249	0.05666014992
